OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
d3bf9308c008706c6bb41ccc79612c8e	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
12fdf03da0d285fc3e2ef9dd369f9077	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
396095f98d50ff8dbf7214c7937c3384	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
18d6fcd66123015242fce2462b9170c5	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
cc199ed9c0f3e14aa5a60b279c4a13ab	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
e43e9000f76aa5a557bbc18b0893f720	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
41222766bd3ff58237c6919ade590c4e	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
8139ffe64379153d908216c796400ce1	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
050c335ed82052516aa5f288d0599d66	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
1e0d1622e5309ed95b3d0ee44f7df34e	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
3e7ea375ce19c28f26142d5efb5b88ad	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
3288551fa6e33270852c519e43cfb801	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
6814afe5a515f01e03bd2f5561a8eb71	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
065d3bf4719441b96ab39ac4390ab5da	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
c40f0c9a8d7631e5eee7e2ced7826d39	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
2b79e859d2bc32479c8e9e1047b6c2bc	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
affd901810622c0c050e099646ddce48	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
22369b70df887a001d6be3d95ac52862	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
0454d4aefd38fe43e00dd84037ab2581	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
34c6ad178fff858781e42dde81e92936	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
0c3ed5e69d36efeb329d2b91586d4b0b	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Helina	 Helina evecta
8f9c1675df7db66efeec8262bc39cd99	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
bd504bbdecedb7027231f7625de4258b	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
70ea9b4146422f59d32d13fb1303e6b2	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
0145b23f7835b92d71b3bbde53e85e3d	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
ffe21bafdc20e40b8988f174101a206e	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
31f726e3e50daf00ec90e47b2142be14	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
65b03b9f9be8ec4cd83d731904594b9b	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
d7e3b94cc2c749ca0560bae8d473529a	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
86294707589a02ef4c3b9ccac3373456	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
1e64052dbfbb01c30889fbaf6fd31837	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
e06210ae98b446bf74708d4eb271be0d	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
f9fd41a5d907d8b4b2885178bf12e1ad	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
7970335ca3b837b9f687b1ed0c73cc4d	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
16da414f36787788be6caba09ba6246d	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
f38792f3fe24ebff4011334b2391565f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
1da6fb00a2724ad4ddb30e03bbe30fcb	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
5195dbb24b442a817efd5a83d6c3cd3b	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
583b884afe68d3fb2201f49fd5ec3fb2	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
bac835954a05c88c84d5d359cd0787b1	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
2682754dfa4bdf2349c918c10a4f8982	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Hydrotaea	unassigned
7ee97c81f7bc786d04536b82cc18a81f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
7095db48236b9e8a92edb8fac110aa45	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
1d903b4a3988508769ffcd37172d755d	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
13df34e06343f606d20870aed2ae456d	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
64d3258573ae0d7df3fbc7c7e8a2fea3	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Hydrotaea	 Hydrotaea dentipes
814a29ae035fcb4c90e4fa2ae816515a	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
df7560b0118d1c03abc30c453a80d703	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
9f5eaef66b7d6d7df7cb2304ef10de7c	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
4849e19dac69e14c6db4dea36c4230c9	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
6959e82efbcf241c81ce210c34bef872	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
ab7263aa292d57a877e3a71f29a05ac9	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
daa14ca00bbd135b45301a34be2ea20c	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
6751ec47bb1989fdfd656b6945a9f123	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
a2b66f525d0cc7433670fc714c8803bc	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
e7908bf89f5df069dee3eb39a7277de7	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
197002f333de922da19606da6f044de7	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
2443abfa376e5f70d8f22d21c84de0b9	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
118d8e674cabc5d38a8d86e0e89c0e0f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
cf1bf5e06f42f6b7253380f6e41ae66c	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
03bf1f2b777bcffa2326050145773da7	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
98e0a3c6a6fdfb81ab4fec1acf03df0e	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
926963e596b8261940be746667f8dfbc	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
40b21ace2037f111f2611d3c3d713b4b	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
c546a1aa2ba2860fdf5c99fcf6c1cb62	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
d6a146de280ec71a7a6c4518dfc565f7	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
c4bc641ef8519ba7c6be7ef1b56e2d92	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
3482f076e2de7fee4d8325240cf63017	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
a840770dec02d7414278a2f3e6d50659	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
d8245322a5968d51a68843fa938c81c8	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
3d7d80dd7d222057681932e175f5c120	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
7f3986af04d7133f7279b480b571dca5	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
49d7696588d200e94d31574afd935da9	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
ce26c876852261724e776bd0152d26bb	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
14efa5a62c1f3d8974d3c5d2062a1f0f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
b2e2eb3f9fde097a9bc9f40828c1cd2c	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
58b3c7d4af509e92d5d4bbc467f3578d	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Hydrotaea	unassigned
a600a7b5f09e465a4742d7c174ee5c0e	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
8c37ed82f10e747ece25f3807e89eea6	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
29e3f202ea6418cc2eb8f3cee6b84afc	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
d6a6ca3eadec078223b38a9e53c12d66	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
2eecab47c382552ccc17f90581a41394	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
5dad5c4b33ec37a3e1ce3dc12657e88f	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
bde23aff0dc017bf0d7452a98bc37ebb	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
4204e860b750cdafe40d90896f51706f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
be5ff447dbfd26212ca728033d0bda43	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
6557ee4e682db61fd802d134ca17dc3a	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
ff83f03bcd445fdb3c0479ff68b2c5db	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Helina	 Helina evecta
72441d80eeff5df46bda0dcb5563ea5c	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
0214d74cbda06aaf5ee900a25364996d	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
4f5ac3c69f72e4dee178e7f30ddab751	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
6661c294329820c65f263b1526db318d	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	 Hydrotaea	unassigned
d53696a1b0c9c2c01c531f73f19f073f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
ea5c9cbc2d4dd1556b71b064d7ec940e	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
8e6e0c63435b0978306e153ee022c1a6	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
703d993258997b309e9f3c3ee988f633	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
