#OTUID	domain	phylum	class	order	family	genus	species
8b348874497d4aaaf3ea17873db80863	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
917a23054f84178b6202b971bffd8b88	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
5c795bc3b2c49f1913c3e61c99479256	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	
74e873a6e2fdccb637e61808cf560cb2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila	
b5c58b86499116d00c5205b3d406877e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
067a3866d4dee65c9a62dd621d5973e3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
1937883716189bd2a62c284e2b1e05b4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	
08d412279fd327679f94ab4760fafba7	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
d1719ece12884f9bc964293ec0534f43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
0fc38c4a804b773715b44bbbfd3dc568	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
da83e374a6bfe2f1deafd84f6d4a4a55	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
c2b0144212d65ec433c7e4a32f2334fd	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfitobacterium	
995ba62c7645223cbb5d28bc18bb57b7	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
51a66992dada0cec5bc51cca555ecd23	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
6e67b82f043e66a63f9326265fd5e1b4	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	
ee606f6b65f0f52f10cf1c42d158d3d7	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
7d059bfc12e4b3f0c3ce27cb541c39d0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
9c800285c5464ebdd1f492b9dee065f3	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	
3dff95815e461a714f7d86a25fe27881	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
79e6bc947fec878d25bf7bb438aac083	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	
4d0ac63b8eac0197ab1b7efecb016666	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus_Soleaferrea	
6f720cc6e9513f30dfba1369d96747c8	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
9c63d6ca57c9b5f37cda8805ee22fbeb	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
84d8dd493750cd8060d63d022bdd60fe	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
43271f05c1b9d369f43f675457acf816	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
36feb68ce94e8cf309665df775a54a93	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	
28af230a17685c60cf48170ba18ea24a	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
d186b58bff0b310cd185fa1a2c1d79b5	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
288fa53f66d015fdf2508bf65285530e	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	
c8facf562fce34a4a30bd7cdf016157a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
f3590d7457dd21be474a5c7aecf961e5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
83fb55c5f3ed099ed84a0c9dfe2f2eb2	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	
6844bd58a2a50cc9629570fc1759d52a	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
1a523f18ecb4d5caf58b9ed76d316b32	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus_Soleaferrea	
97d4669ddcf023b015165b480ec5eac1	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
8d3037c3b15a20ede31a3437921d950b	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	
cbd485328b44852ff24afc8e37b2b076	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
3743207050b137bf8d3b27d2797c3bf4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
a4f444e80defeca935f6d2a6df605019	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	
9783f65ac7c7175949c4fd41841e2214	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
211406983891471777509f58596193c7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
d791f18385026999efe1bd6bee231f5c	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
34526414a8d3cc1563cfa1b80cdca5db	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter	
